English,Portuguese
the,a
be,ser
and,e
of,do
a,uma
in,dentro
to,para
have,tenho
to,para
it,isto
I,EU
that,este
for,por
you,vocês
he,ele
with,com
on,sobre
do,Faz
say,dizer
they,elas
this,isto
but,mas
at,no
we,nós
his,seu
from,a partir de
that,este
not,não
,
by,por
or,ou
she,ela
as,Como
what,o que
go,vai
their,seus
will,vai
who,quem
can,posso
get,pegue
if,E se
all,tudo
would,gostaria
her,sua
make,faço
about,cerca de
my,minha
know,conhecer
as,Como
there,lá
up,acima
time,Tempo
year,ano
so,assim
think,acho
see,Vejo
which,que
when,quando
some,algum
them,eles
people,pessoas
take,leva
me,Eu
out,Fora
into,em
just,apenas
him,dele
come,venha
your,sua
now,agora
could,poderia
than,do que
like,Curti
other,outro
then,então
how,Como as
its,Está
two,dois
our,nosso
more,mais
these,esses
want,querer
way,caminho
no,não
look,olhar
first,primeiro
also,também
new,novo
because,Porque
day,dia
more,mais
use,usar
man,cara
here,aqui
find,achar
give,dar
thing,coisa
well,Nós vamos
many,muitos
only,só
those,Essa
tell,dizer
very,muito
one,um
even,até
her,sua
back,de volta
any,algum
good,Boa
us,nós
through,Através dos
woman,mulher
life,vida
child,filho
there,lá
down,baixa
work,trabalhar
after,depois
call,ligar
may,poderia
world,mundo
over,sobre
should,deve
still,ainda
try,tentar
in,dentro
school,escola
as,Como
last,último
ask,perguntar
too,também
need,precisar
three,três
feel,sentir
when,quando
become,vir a ser
state,Estado
never,Nunca
between,entre
high,Alto
something,algo
really,verdade
most,a maioria
another,outro
much,Muito de
own,ter
family,família
out,Fora
house,lar
leave,sair
put,colocar
old,velho
on,sobre
while,enquanto
mean,significa
let,deixar
why,Por quê
president,Presidente
keep,guarda
same,mesmo
great,excelente
begin,começar
big,grande
seem,parecer
group,grupo
country,país
talk,conversa
problem,problema
where,Onde
turn,virar
student,aluna
every,todo
hand,mão
help,ajuda
against,contra
start,começar
American,americano
part,papel
show,mostrar
about,cerca de
over,sobre
might,poderia
such,tal
place,"Lugar, colocar"
again,novamente
city,cidade
case,caso
most,a maioria
few,alguns
system,sistema
week,semana
where,Onde
company,companhia
each,cada
percent,por cento
hear,ouvir
so,assim
during,durante
